Store,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSinceMonth_missing,CompetitionOpenSinceYear_missing,CompetitionDistance_missing,StoreType_1,StoreType_2,StoreType_3,StoreType_4,Assortment_1,Assortment_2,Assortment_3
21,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,0,0,1
22,1040.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
23,4060.0,8.0,2005.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
24,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
25,430.0,4.0,2003.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
26,2300.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
27,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
28,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
29,2170.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
30,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
31,9800.0,7.0,2012.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
32,2910.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
33,1320.0,5.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
34,2240.0,9.0,2009.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
35,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
36,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
37,4230.0,12.0,2014.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
38,1090.0,4.0,2007.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
39,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
40,180.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
41,1180.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
42,290.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
43,4880.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
44,540.0,6.0,2011.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
45,9710.0,2.0,2014.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
46,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,1,0,0
47,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
48,1060.0,5.0,2012.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
49,18010.0,9.0,2007.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
50,6260.0,11.0,2009.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
51,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
52,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
53,30360.0,9.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
54,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
55,720.0,11.0,2004.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
56,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,0,1,0,0,1
57,420.0,6.0,2014.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
58,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
59,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
60,5540.0,10.0,2009.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
61,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
62,2050.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
63,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",0,0,0,0,0,1,0,0,0,1
64,22560.0,0.0,0.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
65,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
66,7660.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
67,410.0,2.0,2006.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
68,250.0,0.0,0.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,0,0,1
69,1130.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,0,0,1
70,4840.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1
71,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
72,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
73,1650.0,9.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
74,330.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
75,22440.0,12.0,2013.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
76,19960.0,3.0,2006.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
77,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
78,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
79,3320.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
80,7910.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
81,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
82,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
83,2710.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
84,11810.0,8.0,2014.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
85,1870.0,10.0,2011.0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0
86,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
87,560.0,12.0,2010.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
88,10690.0,10.0,2005.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
89,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
90,330.0,11.0,2007.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
91,2410.0,0.0,0.0,1,35.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,1,0,0
92,240.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,0,0,1,0,1,0,0
93,16690.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
94,14620.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
95,1890.0,10.0,2014.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
96,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
97,8980.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
98,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
99,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,1,0,0,0,1
100,17930.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
101,2440.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,0,1,0,0,1
102,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
103,5210.0,5.0,2015.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
104,390.0,6.0,2009.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
105,6190.0,0.0,0.0,1,23.0,2013.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,0,0,1
106,1390.0,8.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
107,1930.0,9.0,2009.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
108,2190.0,9.0,2003.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
109,3300.0,11.0,2010.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
110,46590.0,4.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
111,7890.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
112,1630.0,9.0,2009.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
113,20930.0,11.0,1999.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
114,4510.0,0.0,0.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,1,0,1,0,0
115,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
116,680.0,4.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
117,3450.0,9.0,2011.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
118,3580.0,9.0,2012.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
119,2100.0,2.0,2010.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
120,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
121,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
122,58260.0,4.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
123,16760.0,9.0,2011.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
124,1410.0,4.0,2003.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
125,760.0,12.0,2005.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
126,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,1,0,0
127,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
128,2000.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
129,2460.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
130,900.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,1,0,0
131,920.0,7.0,2015.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
132,1040.0,0.0,0.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
133,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
134,1200.0,9.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
135,5190.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
136,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,0,0,1
137,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
138,25360.0,10.0,2014.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
139,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
140,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
141,1540.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,1,0,0,0,1
142,1090.0,7.0,2002.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
143,2930.0,12.0,2002.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
144,16570.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
145,280.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
146,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
147,8540.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
148,2090.0,12.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
149,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
150,31830.0,3.0,2010.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1
151,4360.0,10.0,2005.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
152,1780.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
153,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
154,16420.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
155,3050.0,0.0,0.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
156,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,1,0,0
157,2950.0,10.0,2004.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
158,11840.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
159,8530.0,3.0,2013.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
160,17110.0,11.0,2005.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
161,2970.0,3.0,2005.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
162,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
163,1480.0,4.0,2009.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
164,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
165,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
166,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
167,140.0,4.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
168,12540.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
169,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,1,0,0
170,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
171,2640.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
172,110.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
173,350.0,12.0,2012.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
174,13090.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
175,4130.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
176,3770.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
177,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
178,1710.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
179,480.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
180,5800.0,9.0,2010.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
181,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
182,1390.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,0,1,0,0,1
183,9670.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
184,3560.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
185,1860.0,5.0,2015.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
186,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
187,19360.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
188,850.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,1,0,0
189,5760.0,7.0,2014.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
190,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
191,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
192,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
193,520.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
194,16970.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
195,220.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
196,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,1,0,1,0,0
197,4210.0,3.0,2015.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
198,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
199,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,0,1,0,0,1
200,1650.0,10.0,2000.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
201,20260.0,0.0,0.0,1,18.0,2014.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,0,1,1,0,0
202,5140.0,5.0,2010.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
203,490.0,11.0,2002.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1
204,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
205,110.0,12.0,2007.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
206,380.0,0.0,0.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
207,6870.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
208,300.0,4.0,2006.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
209,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,0,0,1
210,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,1,0,0
211,350.0,11.0,2006.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
212,15050.0,9.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
213,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
214,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
215,150.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,1,0,0
216,190.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,0,0,1,0,1,0,0
217,3150.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
218,640.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",0,0,0,1,0,0,0,0,0,1
219,1640.0,2.0,2013.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
220,1000.0,9.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
221,13530.0,9.0,2013.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
222,2170.0,11.0,2008.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
223,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
224,7930.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
225,10180.0,5.0,2015.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
226,450.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
227,2370.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
228,10800.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
229,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,0,0,1
230,6680.0,9.0,2013.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
231,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
232,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",0,0,0,0,0,1,0,0,0,1
233,1890.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
234,4370.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0
235,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",0,0,0,1,0,0,0,1,0,0
236,1000.0,11.0,2007.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
237,1420.0,11.0,2007.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
238,320.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
239,610.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
240,1110.0,5.0,2009.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
241,780.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1
242,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
243,310.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,1,0,0,0,1,0,0
244,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0,0,0,0,0,0,1,1,0,0
245,1310.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
246,4660.0,4.0,2013.0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0
247,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",0,0,0,0,0,0,1,0,0,1
